iter	Passed	Remaining
0	1246	123402
1	2052	100552
2	2774	89711
3	3588	86112
4	4281	81355
5	4885	76546
6	5597	74367
7	6325	72748
8	6978	70555
9	7509	67588
10	8117	65681
11	8680	63658
12	9330	62439
13	10060	61803
14	10807	61242
15	11519	60475
16	12151	59328
17	12831	58456
18	13123	55947
19	14094	56377
20	14765	55547
21	15467	54840
22	16215	54285
23	16835	53311
24	17461	52383
25	17995	51218
26	18157	49091
27	18419	47365
28	19001	46520
29	19678	45917
30	20021	44563
31	20384	43317
32	20963	42561
33	21520	41775
34	22166	41165
35	22926	40758
36	23616	40212
37	24222	39520
38	24840	38852
39	25548	38322
40	26123	37592
41	26783	36987
42	27445	36380
43	28005	35643
44	28605	34961
45	29203	34281
46	29752	33550
47	30385	32918
48	31052	32319
49	31606	31606
50	32229	30966
51	32833	30308
52	33436	29651
53	34136	29078
54	34666	28363
55	35257	27702
56	35862	27053
57	36492	26425
58	37037	25737
59	37623	25082
60	38262	24462
61	39105	23967
62	39830	23392
63	40675	22880
64	41343	22262
65	41989	21630
66	42599	20981
67	43237	20346
68	44010	19772
69	44642	19132
70	45207	18465
71	45849	17830
72	46427	17171
73	47071	16538
74	47638	15879
75	48292	15250
76	48892	14604
77	49477	13955
78	50069	13309
79	50707	12676
80	51300	12033
81	51914	11395
82	52737	10801
83	53373	10166
84	54063	9540
85	54730	8909
86	55394	8277
87	55940	7628
88	56681	7005
89	57418	6379
90	58090	5745
91	58674	5102
92	59410	4471
93	60054	3833
94	60723	3195
95	61378	2557
96	62093	1920
97	62851	1282
98	63618	642
99	64461	0
