,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,treatment,conversion,visit,exposure
1561,0.00016586446299607604,0.00026716764378771624,0.0002735838778583012,0.0002852804772307192,0.000265801272411065,0.0002716771769222866,1.273749209307796e-05,0.0002466206510856202,0.0002594627918776752,0.00040669319313388374,0.0002656682184477356,-0.0002615547242160924,1,0,0,0
2333,0.00032973763616047367,0.00026716764378771624,0.0002838055891284147,0.0002852804772307192,0.000265801272411065,0.0002716771769222866,-0.00022134549420869297,0.0002466206510856202,0.0002669983697673498,0.00020161897815509005,0.0002656682184477356,-0.0002615547242160924,1,0,0,0
2916,0.0002819807892886792,0.00026716764378771624,0.00025994062867154804,0.0002852804772307192,0.000265801272411065,0.0002716771769222866,-0.00010430400105780751,0.0002466206510856202,0.0002700308203914458,0.00020161897815509005,0.0002656682184477356,-0.0002615547242160924,1,0,0,0
3366,0.00016586446299607604,0.00026716764378771624,0.0002736277899457599,0.0002852804772307192,0.000265801272411065,0.0002716771769222866,1.273749209307796e-05,0.0002466206510856202,0.00026620429374148873,0.0003273596573779175,0.0002656682184477356,-0.0002615547242160924,1,0,0,0
4777,0.00016586446299607604,0.00026716764378771624,0.00028581908333372895,0.0002852804772307192,0.000265801272411065,0.0002716771769222866,1.273749209307796e-05,0.0002466206510856202,0.00026811755706646724,0.00020161897815509005,0.0002656682184477356,-0.0002615547242160924,1,0,0,0
5557,0.00017678003099796494,0.00026716764378771624,0.00025994062867154804,8.736269554596386e-05,0.000265801272411065,0.0002716771769222866,-0.00027511805685473043,0.0002466206510856202,0.0002700308203914458,0.00020161897815509005,0.0002656682184477356,-0.0002615547242160924,1,0,0,0
7103,0.00016586446299607604,0.00026716764378771624,0.00027181887738276047,0.0002852804772307192,0.000265801272411065,0.0002716771769222866,1.273749209307796e-05,0.0002466206510856202,0.0002689116330923283,0.0002480261216219513,0.0002656682184477356,-0.0002615547242160924,1,0,0,0
7463,0.00032352228322058357,0.00026716764378771624,0.00025994062867154804,0.0002852804772307192,0.000265801272411065,0.00019890416206639795,-0.00010430400105780751,0.0005568752027047857,0.0002700308203914458,0.00020161897815509005,0.0002656682184477356,-0.0002615547242160924,1,0,0,0
11460,0.00016586446299607604,0.00026716764378771624,0.00027347692223474965,0.0002852804772307192,0.000265801272411065,0.0002716771769222866,1.273749209307796e-05,0.0002466206510856202,0.0002653252800752144,0.000396734384411606,0.0002656682184477356,-0.0002615547242160924,1,0,0,0
12236,0.00016586446299607604,0.00026716764378771624,0.00027078348974724485,0.0002852804772307192,0.000265801272411065,0.0002716771769222866,1.273749209307796e-05,0.0002466206510856202,0.0002689116330923283,0.0002480261216219513,0.0002656682184477356,-0.0002615547242160924,1,0,0,0
