Init var: 1.741628813172564, mut_rate: 0.001


Iter number: 0 | Best varance: inf

Iter number: 1 | Best varance: 1.7553624101542884

Iter number: 2 | Best varance: 1.7553624101542884

Iter number: 3 | Best varance: 1.7553624101542884

Iter number: 4 | Best varance: 1.7553624101542884

Iter number: 5 | Best varance: 1.7553624101542884

Iter number: 6 | Best varance: 1.7553624101542884

Iter number: 7 | Best varance: 1.7553624101542884

Iter number: 8 | Best varance: 1.7553624101542884

Iter number: 9 | Best varance: 1.7553624101542884

Iter number: 10 | Best varance: 1.7553624101542884

Iter number: 11 | Best varance: 1.7553624101542884

Iter number: 12 | Best varance: 1.755091549427091

Iter number: 13 | Best varance: 1.755091549427091

Iter number: 14 | Best varance: 1.7549326838128771

Iter number: 15 | Best varance: 1.7549326838128771

Iter number: 16 | Best varance: 1.7549326838128771

Iter number: 17 | Best varance: 1.754854584208297

Iter number: 18 | Best varance: 1.7548100761605656

Iter number: 19 | Best varance: 1.7548100761605656

Iter number: 20 | Best varance: 1.754539215433368

Iter number: 21 | Best varance: 1.7539293420735431

Iter number: 22 | Best varance: 1.7536998864781277

Iter number: 23 | Best varance: 1.7536998864781277

Iter number: 24 | Best varance: 1.7536998864781277

Iter number: 25 | Best varance: 1.7536998864781277

Iter number: 26 | Best varance: 1.7536998864781277

Iter number: 27 | Best varance: 1.7536998864781277

Iter number: 28 | Best varance: 1.752999412527048

Iter number: 29 | Best varance: 1.752999412527048

Iter number: 30 | Best varance: 1.752999412527048

Iter number: 31 | Best varance: 1.752999412527048

Iter number: 32 | Best varance: 1.752999412527048

Iter number: 33 | Best varance: 1.7521484262191354

Iter number: 34 | Best varance: 1.7521484262191354

Iter number: 35 | Best varance: 1.7521484262191354

Iter number: 36 | Best varance: 1.7521484262191354

Iter number: 37 | Best varance: 1.7520008050477598

Iter number: 38 | Best varance: 1.7519595347131687

Iter number: 39 | Best varance: 1.7514479522680557

Iter number: 40 | Best varance: 1.7506781715044377

Iter number: 41 | Best varance: 1.7506781715044377

Iter number: 42 | Best varance: 1.7506781715044377

Iter number: 43 | Best varance: 1.7506253119261732

Iter number: 44 | Best varance: 1.7506253119261732

Iter number: 45 | Best varance: 1.7506253119261732

Iter number: 46 | Best varance: 1.750502613852275

Iter number: 47 | Best varance: 1.7500921331871702

Iter number: 48 | Best varance: 1.7500921331871702

Iter number: 49 | Best varance: 1.7500921331871702

Iter number: 50 | Best varance: 1.7500921331871702

Iter number: 51 | Best varance: 1.7500921331871702

Iter number: 52 | Best varance: 1.7499081851247102

Iter number: 53 | Best varance: 1.7496686122749623

Iter number: 54 | Best varance: 1.7496686122749623

Iter number: 55 | Best varance: 1.7496686122749623

Iter number: 56 | Best varance: 1.7496469269453787

Iter number: 57 | Best varance: 1.7496469269453787

Iter number: 58 | Best varance: 1.7496469269453787

Iter number: 59 | Best varance: 1.7496469269453787

Iter number: 60 | Best varance: 1.749518428398388

Iter number: 61 | Best varance: 1.749518428398388

Iter number: 62 | Best varance: 1.749518428398388

Iter number: 63 | Best varance: 1.7494297051544883

Iter number: 64 | Best varance: 1.7493331247770414

Iter number: 65 | Best varance: 1.7493331247770414

Iter number: 66 | Best varance: 1.748896092176777

Iter number: 67 | Best varance: 1.748896092176777

Iter number: 68 | Best varance: 1.748896092176777

Iter number: 69 | Best varance: 1.7485814397453374

Iter number: 70 | Best varance: 1.7485814397453374

Iter number: 71 | Best varance: 1.7485814397453374

Iter number: 72 | Best varance: 1.7485350039417522

Iter number: 73 | Best varance: 1.7485350039417522

Iter number: 74 | Best varance: 1.7485350039417522

Iter number: 75 | Best varance: 1.7482158485361714

Iter number: 76 | Best varance: 1.7482158485361714

Iter number: 77 | Best varance: 1.7482158485361714

Iter number: 78 | Best varance: 1.7481488727251768

Iter number: 79 | Best varance: 1.7481242915206145

Iter number: 80 | Best varance: 1.7480868988440863

Iter number: 81 | Best varance: 1.7480868988440863

Iter number: 82 | Best varance: 1.7480868988440863

Iter number: 83 | Best varance: 1.7480868988440863

Iter number: 84 | Best varance: 1.7478339974731356

Iter number: 85 | Best varance: 1.7478339974731356

Iter number: 86 | Best varance: 1.7478339974731356

Iter number: 87 | Best varance: 1.7478339974731356

Iter number: 88 | Best varance: 1.7471158181137452

Iter number: 89 | Best varance: 1.7471158181137452

Iter number: 90 | Best varance: 1.7470932258333705

Iter number: 91 | Best varance: 1.7466671861144403

Iter number: 92 | Best varance: 1.7466671861144403

Iter number: 93 | Best varance: 1.7466671861144403

Iter number: 94 | Best varance: 1.7466671861144403

Iter number: 95 | Best varance: 1.7465719635252728

Iter number: 96 | Best varance: 1.7465719635252728

Iter number: 97 | Best varance: 1.7465719635252728

Iter number: 98 | Best varance: 1.7465719635252728

Iter number: 99 | Best varance: 1.7465719635252728

Iter number: 100 | Best varance: 1.7465719635252728

Iter number: 101 | Best varance: 1.745571326575371

Iter number: 102 | Best varance: 1.745571326575371

Iter number: 103 | Best varance: 1.745571326575371

Iter number: 104 | Best varance: 1.745571326575371

Iter number: 105 | Best varance: 1.745571326575371

Iter number: 106 | Best varance: 1.745571326575371

Iter number: 107 | Best varance: 1.7453581045060442

Iter number: 108 | Best varance: 1.7453581045060442

Iter number: 109 | Best varance: 1.7453581045060442

Iter number: 110 | Best varance: 1.7453581045060442

Iter number: 111 | Best varance: 1.7453581045060442

Iter number: 112 | Best varance: 1.7453581045060442

Iter number: 113 | Best varance: 1.7453581045060442

Iter number: 114 | Best varance: 1.7453581045060442

Iter number: 115 | Best varance: 1.7453581045060442

Iter number: 116 | Best varance: 1.7453530948708935

Iter number: 117 | Best varance: 1.7453530948708935

Iter number: 118 | Best varance: 1.745269063257686

Iter number: 119 | Best varance: 1.7452227069225656

Iter number: 120 | Best varance: 1.745027543619892

Iter number: 121 | Best varance: 1.7435956249860585

